s.no,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
97,04-03-2019 22:34,04-03-2019 22:41,1,1.3,7.5,0.5,0,11.8,yellow,credit card,Midtown Center,Upper East Side South,Manhattan,Manhattan
98,08-03-2019 19:10,08-03-2019 19:18,2,0.9,7,0,0,11.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan
99,02-03-2019 10:47,02-03-2019 10:56,3,0.95,7.5,2.16,0,12.96,yellow,credit card,West Village,Flatiron,Manhattan,Manhattan
100,28-03-2019 11:28,28-03-2019 11:49,1,1.79,13.5,3.36,0,20.16,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan
101,29-03-2019 14:24,29-03-2019 14:31,1,1.15,7,2.06,0,12.36,yellow,credit card,Midtown Center,Lenox Hill West,Manhattan,Manhattan
102,01-03-2019 07:34,01-03-2019 07:40,1,1.2,6.5,0,0,9.8,yellow,cash,Bloomingdale,Upper West Side North,Manhattan,Manhattan
103,31-03-2019 11:50,31-03-2019 11:54,4,0.43,4,0,0,7.3,yellow,cash,Union Sq,Union Sq,Manhattan,Manhattan
104,28-03-2019 13:29,28-03-2019 13:56,3,9.5,30,0,5.76,39.06,yellow,cash,Queensboro Hill,Midtown South,Queens,Manhattan
105,12-03-2019 17:05,12-03-2019 17:12,1,1.1,6.5,2.15,0,12.95,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan
106,08-03-2019 18:43,08-03-2019 18:57,1,2.06,10,2.86,0,17.16,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
107,04-03-2019 17:49,04-03-2019 17:55,1,0.78,5.5,1.47,0,11.27,yellow,credit card,Union Sq,Midtown South,Manhattan,Manhattan
108,22-03-2019 13:23,22-03-2019 13:43,4,2.42,13.5,2,0,18.8,yellow,credit card,Midtown South,Clinton West,Manhattan,Manhattan
109,09-03-2019 23:57,10-03-2019 00:16,1,2.73,13,1,0,17.8,yellow,credit card,SoHo,DUMBO/Vinegar Hill,Manhattan,Brooklyn
110,20-03-2019 10:12,20-03-2019 10:31,1,5.7,20,4.65,0,27.95,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan
111,15-03-2019 10:56,15-03-2019 11:37,1,11.93,39.5,9.71,5.76,58.27,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
112,22-03-2019 23:19,22-03-2019 23:31,1,1.7,10,2.75,0,16.55,yellow,credit card,Midtown Center,Upper West Side South,Manhattan,Manhattan
113,30-03-2019 12:28,30-03-2019 12:49,1,2.9,15,0,0,18.3,yellow,cash,Penn Station/Madison Sq West,Upper West Side South,Manhattan,Manhattan
114,05-03-2019 12:17,05-03-2019 12:36,1,5.98,19,5.58,0,27.88,yellow,credit card,Brooklyn Heights,Murray Hill,Brooklyn,Manhattan
115,01-03-2019 16:10,01-03-2019 16:15,1,0.65,5,1.86,0,11.16,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
116,25-03-2019 15:43,25-03-2019 15:58,1,1.76,10.5,0,0,13.8,yellow,cash,Times Sq/Theatre District,Flatiron,Manhattan,Manhattan
117,23-03-2019 09:39,23-03-2019 09:56,0,3.6,15.5,3.75,0,22.55,yellow,credit card,Yorkville East,Penn Station/Madison Sq West,Manhattan,Manhattan
118,11-03-2019 10:00,11-03-2019 10:04,2,0.58,4.5,0.78,0,8.58,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
119,14-03-2019 23:29,14-03-2019 23:37,1,1.22,7,0,0,10.8,yellow,cash,Alphabet City,East Village,Manhattan,Manhattan
120,21-03-2019 17:21,21-03-2019 17:21,1,0,2.5,0,0,4.3,yellow,cash,JFK Airport,JFK Airport,Queens,Queens
121,13-03-2019 20:00,13-03-2019 20:14,1,2.1,11,3.05,0,18.35,yellow,credit card,East Chelsea,East Village,Manhattan,Manhattan
122,10-03-2019 20:36,10-03-2019 20:47,2,2,9.5,1.62,0,12.42,yellow,credit card,Manhattan Valley,East Harlem South,Manhattan,Manhattan
123,20-03-2019 21:17,20-03-2019 21:22,1,0.83,5.5,0,0,9.3,yellow,cash,Clinton East,Midtown Center,Manhattan,Manhattan
124,04-03-2019 13:06,04-03-2019 13:16,1,1.79,9.5,1,0,13.8,yellow,credit card,Midtown Center,Upper East Side North,Manhattan,Manhattan
125,31-03-2019 17:17,31-03-2019 17:29,1,2.07,10,2.7,0,13.5,yellow,credit card,East Harlem South,Manhattan Valley,Manhattan,Manhattan
126,13-03-2019 08:46,13-03-2019 08:58,1,1.53,10,2.66,0,15.96,yellow,credit card,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
127,21-03-2019 18:44,21-03-2019 19:30,1,10.21,37.61,0,0,38.41,yellow,credit card,East Chelsea,Marble Hill,Manhattan,Manhattan
128,06-03-2019 19:29,06-03-2019 20:08,1,10.8,36,11.5,5.76,57.56,yellow,credit card,LaGuardia Airport,Clinton East,Queens,Manhattan
129,17-03-2019 22:46,17-03-2019 23:04,1,3.43,14.5,3.66,0,21.96,yellow,credit card,Times Sq/Theatre District,East Village,Manhattan,Manhattan
130,10-03-2019 00:20,10-03-2019 00:27,3,0.57,6,0,0,9.8,yellow,cash,East Village,East Village,Manhattan,Manhattan
131,28-03-2019 18:06,28-03-2019 18:11,1,0.9,5.5,0,0,9.8,yellow,cash,Lincoln Square West,Lincoln Square East,Manhattan,Manhattan
132,12-03-2019 13:01,12-03-2019 13:04,1,0.6,4,0,0,7.3,yellow,cash,Kips Bay,Murray Hill,Manhattan,Manhattan
133,28-03-2019 21:09,28-03-2019 21:15,1,1.06,6,2.94,0,12.74,yellow,credit card,East Chelsea,Clinton East,Manhattan,Manhattan
134,11-03-2019 10:37,11-03-2019 10:50,5,1.56,10,1,0,14.3,yellow,credit card,Union Sq,Midtown Center,Manhattan,Manhattan
135,06-03-2019 18:59,06-03-2019 19:11,1,0.9,8.5,2.5,0,15.3,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan
136,11-03-2019 11:56,11-03-2019 12:06,1,1.7,9,0,0,12.3,yellow,cash,Lincoln Square West,Upper West Side North,Manhattan,Manhattan
137,09-03-2019 19:07,09-03-2019 19:10,1,0.55,4.5,1.56,0,9.36,yellow,credit card,Yorkville East,Yorkville West,Manhattan,Manhattan
138,07-03-2019 19:26,07-03-2019 19:44,4,3,14,3.65,0,21.95,yellow,credit card,Clinton West,Greenwich Village North,Manhattan,Manhattan
139,19-03-2019 15:08,19-03-2019 15:34,6,6.4,23,5.26,0,31.56,yellow,credit card,Yorkville West,Greenwich Village South,Manhattan,Manhattan
140,29-03-2019 08:55,29-03-2019 09:13,2,4.14,16,3.86,0,23.16,yellow,credit card,Yorkville East,Kips Bay,Manhattan,Manhattan
141,31-03-2019 08:55,31-03-2019 09:00,1,1.1,6,0,0,9.3,yellow,cash,Clinton East,Central Park,Manhattan,Manhattan
142,30-03-2019 20:45,30-03-2019 21:06,1,2.61,14,2.67,0,20.47,yellow,credit card,Sutton Place/Turtle Bay North,Lower East Side,Manhattan,Manhattan
143,03-03-2019 12:37,03-03-2019 12:43,1,1.18,6.5,0,0,9.8,yellow,cash,Union Sq,East Village,Manhattan,Manhattan
144,23-03-2019 18:35,23-03-2019 18:47,1,3.2,12.5,2,0,17.8,yellow,credit card,UN/Turtle Bay South,East Village,Manhattan,Manhattan
145,26-03-2019 23:30,26-03-2019 23:40,1,2.8,10.5,2.85,0,17.15,yellow,credit card,East Chelsea,Lincoln Square West,Manhattan,Manhattan
146,11-03-2019 11:36,11-03-2019 11:57,2,5.09,19,5.58,0,27.88,yellow,credit card,Financial District North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
147,25-03-2019 15:51,25-03-2019 16:01,1,1.16,8,2.26,0,13.56,yellow,credit card,Flatiron,Greenwich Village North,Manhattan,Manhattan
148,27-03-2019 23:10,27-03-2019 23:22,3,2.77,11,3.7,0,18.5,yellow,credit card,East Chelsea,Seaport,Manhattan,Manhattan
149,28-03-2019 07:54,28-03-2019 08:01,1,1.72,7.5,0,0,8.3,yellow,cash,Manhattan Valley,East Harlem South,Manhattan,Manhattan
150,19-03-2019 06:22,19-03-2019 06:37,1,3.5,13.5,0,0,16.8,yellow,cash,Lenox Hill East,Manhattan Valley,Manhattan,Manhattan
151,29-03-2019 10:25,29-03-2019 11:14,3,6.71,34,7.46,0,44.76,yellow,credit card,Times Sq/Theatre District,Williamsburg (North Side),Manhattan,Brooklyn
152,28-03-2019 05:39,28-03-2019 05:47,1,2.2,8.5,2.45,0,14.75,yellow,credit card,Lenox Hill West,Garment District,Manhattan,Manhattan
153,13-03-2019 18:32,13-03-2019 18:45,1,2,10,0,0,14.3,yellow,cash,Clinton East,Gramercy,Manhattan,Manhattan
154,05-03-2019 17:58,05-03-2019 18:19,2,2.7,14.5,0,0,18.8,yellow,cash,Murray Hill,Upper East Side North,Manhattan,Manhattan
155,21-03-2019 22:49,21-03-2019 22:55,1,1.03,6,1.46,0,8.76,yellow,credit card,DUMBO/Vinegar Hill,Brooklyn Heights,Brooklyn,Brooklyn
156,07-03-2019 19:57,07-03-2019 20:10,1,0.9,9.5,2,0,15.8,yellow,credit card,Lenox Hill West,Yorkville East,Manhattan,Manhattan
157,02-03-2019 12:25,02-03-2019 12:45,5,10.18,29.5,0.06,5.76,38.62,yellow,credit card,LaGuardia Airport,Midtown East,Queens,Manhattan
158,05-03-2019 15:39,05-03-2019 15:44,3,0.92,5.5,0,0,8.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
159,13-03-2019 16:40,13-03-2019 16:51,1,2,9.5,1,0,14.8,yellow,credit card,Central Park,Upper East Side North,Manhattan,Manhattan
160,14-03-2019 11:36,14-03-2019 11:46,1,1.43,8.5,2.36,0,14.16,yellow,credit card,Central Park,Upper West Side North,Manhattan,Manhattan
161,22-03-2019 07:46,22-03-2019 07:49,3,0.74,4.5,1.95,0,9.75,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
162,06-03-2019 17:36,06-03-2019 18:43,2,17.1,52,13.1,5.76,78.66,yellow,credit card,Midtown South,JFK Airport,Manhattan,Queens
163,08-03-2019 04:17,08-03-2019 04:21,1,1.2,5.5,1,0,10.3,yellow,credit card,Garment District,Garment District,Manhattan,Manhattan
164,31-03-2019 15:21,31-03-2019 15:37,2,1.8,11,1,0,15.3,yellow,credit card,East Village,West Village,Manhattan,Manhattan
165,21-03-2019 21:31,21-03-2019 21:49,1,2.13,12,0,0,15.8,yellow,cash,Meatpacking/West Village West,East Village,Manhattan,Manhattan
166,06-03-2019 12:43,06-03-2019 12:59,1,1.4,11,2.85,0,17.15,yellow,credit card,Gramercy,Flatiron,Manhattan,Manhattan
167,18-03-2019 14:30,18-03-2019 14:36,1,0.6,5.5,0,0,8.8,yellow,cash,Upper East Side North,Yorkville West,Manhattan,Manhattan
168,28-03-2019 22:33,28-03-2019 22:45,2,1.56,9.5,0,0,13.3,yellow,cash,Midtown Center,Murray Hill,Manhattan,Manhattan
169,13-03-2019 12:33,13-03-2019 12:40,6,0.95,6,2.32,0,11.62,yellow,credit card,Lincoln Square East,Clinton East,Manhattan,Manhattan
170,14-03-2019 04:46,14-03-2019 04:49,2,0.56,4,1.56,0,9.36,yellow,credit card,Times Sq/Theatre District,Midtown Center,Manhattan,Manhattan
171,13-03-2019 19:21,13-03-2019 19:28,1,1,6.5,0,0,10.8,yellow,cash,Little Italy/NoLiTa,Greenwich Village North,Manhattan,Manhattan
172,01-03-2019 11:25,01-03-2019 11:34,1,1.24,8,0,0,11.3,yellow,cash,Upper West Side South,Upper East Side North,Manhattan,Manhattan
173,05-03-2019 22:07,05-03-2019 22:18,6,2.16,9.5,3.32,0,16.62,yellow,credit card,Midtown East,East Village,Manhattan,Manhattan
174,04-03-2019 20:56,04-03-2019 21:13,1,9.97,28.5,0,0,29.8,yellow,credit card,Mott Haven/Port Morris,Riverdale/North Riverdale/Fieldston,Bronx,Bronx
175,04-03-2019 20:40,04-03-2019 20:44,1,1.1,5.5,1.86,0,11.16,yellow,credit card,Clinton East,Clinton East,Manhattan,Manhattan
176,05-03-2019 17:58,05-03-2019 18:00,1,0.44,3.5,1.11,0,8.91,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan
177,29-03-2019 19:21,29-03-2019 19:35,1,5.19,17.5,4,0,25.8,yellow,credit card,Financial District North,Murray Hill,Manhattan,Manhattan
